Fantasy Index Cheat Sheet,,,,,,
Rankings calculated for OALFFL,,,,,,
,,,,,,
"Projections updated through Sep 01, 2025,  4 a.m. EDT",,,,,,
ALL POSITIONS,,,,,,
Rank,Pos,Team,Name,Bye,Points,
371,K,UFA,Matt Prater,0,8.27,
372,ST,LAC,LA Chargers,12,120.94,
373,ST,KC,Kansas City,10,110.64,
374,ST,TB,Tampa Bay,9,109.27,
375,ST,SF,San Francisco,14,106.93,
376,ST,NYJ,NY Jets,9,106.9,
377,ST,CHI,Chicago,5,105.82,
378,ST,NYG,NY Giants,14,104.79,
379,ST,WAS,Washington,12,104.17,
380,ST,LAR,LA Rams,8,103.43,
381,ST,MIA,Miami,12,100.28,
382,ST,DAL,Dallas,10,99.74,
383,ST,ATL,Atlanta,5,99.09,
384,ST,ARI,Arizona,8,96.3,
385,ST,CLE,Cleveland,9,92.65,
386,ST,JAC,Jacksonville,8,89.14,
387,ST,NO,New Orleans,11,86.64,
388,ST,TEN,Tennessee,10,83.74,
389,ST,CIN,Cincinnati,10,81,
390,ST,LV,Las Vegas,8,77.54,
391,ST,CAR,Carolina,14,74.44,
