Fantasy Index Cheat Sheet,,,,,,,,,,,,,,
Rankings calculated for Ohio Outcasts,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Projections updated through Sep 04, 2025,  2 p.m. EDT",,,,,,,,,,,,,,
ALL POSITIONS,,,,,,,,,,,,,,
Rank,Pos,Team,Name,Bye,Points,,,,,,,,,
278,QB,NYG,Jaxson Dart,14,153.84,,,,,,,,,
279,RB,KC,Brashard Smith,10,33.4,,,,,,,,,
280,WR,NO,Brandin Cooks,11,56.71,,,,,,,,,
281,RB,SF,Kyle Juszczyk,14,32.94,,,,,,,,,
282,WR,DAL,Jalen Tolbert,10,55.94,,,,,,,,,
283,WR,HOU,Xavier Hutchinson,6,55.71,,,,,,,,,
284,RB,SEA,Robbie Ouzts,8,31.95,,,,,,,,,
285,WR,GB,Christian Watson,5,55.2,,,,,,,,,
286,WR,PHI,Jahan Dotson,9,58.93,,,,,,,,,
287,RB,NYJ,Andrew Beck,9,30.85,,,,,,,,,
288,RB,IND,Tyler Goodson,11,29.97,,,,,,,,,
289,RB,DEN,Tyler Badie,12,29.8,,,,,,,,,
290,WR,NO,Devaughn Vele,11,52.71,,,,,,,,,
291,WR,NE,Kyle Williams,14,52.49,,,,,,,,,
292,RB,SEA,George Holani,8,28.46,,,,,,,,,
293,WR,JAC,Parker Washington,8,51.16,,,,,,,,,
294,RB,ARI,Emari Demercado,8,27.17,,,,,,,,,
295,RB,MIA,Alec Ingold,12,26.37,,,,,,,,,
296,WR,LAC,KeAndre Lambert-Smith,12,49.5,,,,,,,,,
297,RB,DET,Craig Reynolds,8,25.82,,,,,,,,,
298,WR,WAS,Noah Brown,12,48.92,,,,,,,,,
299,WR,TB,Sterling Shepard,9,48.17,,,,,,,,,
300,WR,GB,Dontayvion Wicks,5,47.75,,,,,,,,,
301,RB,TEN,Kalel Mullings,10,22.59,,,,,,,,,
302,WR,NE,Kayshon Boutte,14,45.93,,,,,,,,,
303,WR,CHI,Luther Burden,5,45.76,,,,,,,,,
304,WR,PIT,Roman Wilson,5,44.91,,,,,,,,,
305,WR,TEN,Van Jefferson,10,43.73,,,,,,,,,
306,WR,ARI,Greg Dortch,8,43.17,,,,,,,,,
307,RB,MIA,Jaylen Wright,12,18.8,,,,,,,,,
