Fantasy Index Cheat Sheet,,,,,,,,,,,,,,
Rankings calculated for Ohio Outcasts,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Projections updated through Sep 07, 2026,  8 p.m. EDT",,,,,,,,,,,,,,
ALL POSITIONS,,,,,,,,,,,,,,
Rank,Pos,Team,Name,Bye,Points,,,,,,,,,
157,TE,WAS,Chig Okonkwo,7,116.49,,,,,,,,,
158,TE,BAL,Mark Andrews,13,116.14,,,,,,,,,
159,WR,KC,Xavier Worthy,5,116.04,,,,,,,,,
160,RB,ATL,Brian Robinson,11,115.7,,,,,,,,,
161,TE,NO,Juwan Johnson,8,115.16,,,,,,,,,
162,WR,SF,Deebo Samuel,8,114.7,,,,,,,,,
163,WR,SF,De'Zhaun Stribling,8,114.61,,,,,,,,,
164,TE,NYG,Isaiah Likely,8,120.67,,,,,,,,,
165,TE,MIA,Greg Dulcich,6,114.13,,,,,,,,,
166,WR,SEA,Rashid Shaheed,11,108.99,,,,,,,,,
167,WR,PIT,Michael Pittman,9,113.16,,,,,,,,,
168,RB,KC,Emmett Johnson,5,112.01,,,,,,,,,
169,WR,TEN,Carnell Tate,9,111.66,,,,,,,,,
170,RB,NYJ,Braelon Allen,13,110.9,,,,,,,,,
171,RB,SEA,Zach Charbonnet,11,110.34,,,,,,,,,
172,TE,HOU,Dalton Schultz,8,109.66,,,,,,,,,
173,TE,MIN,T.J. Hockenson,6,107.22,,,,,,,,,
174,TE,SEA,AJ Barner,11,108.92,,,,,,,,,
175,WR,PHI,Dontayvion Wicks,10,108.29,,,,,,,,,
176,TE,PIT,Pat Freiermuth,9,108.21,,,,,,,,,
177,WR,CLE,Denzel Boston,11,107.62,,,,,,,,,
178,RB,DAL,Malik Davis,14,106.82,,,,,,,,,
179,RB,GB,Chris Brooks,11,118.56,,,,,,,,,
180,WR,NE,Romeo Doubs,11,77.98,,,,,,,,,
181,WR,CLE,KC Concepcion,11,104.95,,,,,,,,,
182,TE,JAC,Brenton Strange,7,104.86,,,,,,,,,
183,WR,IND,Josh Downs,13,104.26,,,,,,,,,
184,TE,KC,Travis Kelce,5,103.34,,,,,,,,,
185,WR,LV,Jalen Nailor,13,102.15,,,,,,,,,
186,RB,WAS,Rachaad White,7,101.67,,,,,,,,,
187,WR,NO,Devaughn Vele,8,100.02,,,,,,,,,
188,WR,HOU,Kayshon Boutte,8,99.84,,,,,,,,,
189,WR,DEN,Pat Bryant,10,79.81,,,,,,,,,
190,TE,TEN,Gunnar Helm,9,99.47,,,,,,,,,
191,RB,MIN,Aaron Jones,6,98.75,,,,,,,,,
192,TE,TB,Cade Otton,10,95.84,,,,,,,,,
193,RB,TEN,Tyjae Spears,9,94.44,,,,,,,,,
194,TE,CIN,Mike Gesicki,6,94.34,,,,,,,,,
195,RB,DEN,Jonah Coleman,10,94.21,,,,,,,,,
196,WR,BUF,Khalil Shakir,7,92.54,,,,,,,,,
197,WR,MIA,Malik Washington,6,87.34,,,,,,,,,
